Newick_label,updatedScientificName,Diet,family,order,class,correctedName,domestication
Hipposideros_larvatus,Hipposideros larvatus,O,Hipposideridae,Chiroptera,Mammalia,,W
Chinchilla,Chinchilla,O,Chinchillidae,Rodentia,Mammalia,,D
Western_gray_kangaroo,Western gray kangaroo,H,Macropodidae,Diprotodontia,Mammalia,,W
Rattus_exulans,Rattus exulans,O,Muridae,Rodentia,Mammalia,,W
Molossus_molossus,Molossus molossus,C,Molossidae,Chiroptera,Mammalia,,W
Mastomys_natalensis,Mastomys natalensis,O,Muridae,Rodentia,Mammalia,,W
Oligoryzomys_nigripes,Oligoryzomys nigripes,O,Cricetidae,Rodentia,Mammalia,,W
Marmot,Marmot,O,Sciuridae,Rodentia,Mammalia,,W
Reeve's_muntjac,Reeve's muntjac,H,Cervidae,Artiodactyla,Mammalia,,W
Rhinopithecus_bieti,Rhinopithecus bieti,H,Cercopithecidae,Primates,Mammalia,,W
Chaerephon_pumilus,Chaerephon pumilus,C,Molossidae,Chiroptera,Mammalia,,W
Asian_elephant,Asian elephant,H,Elephantidae,Proboscidea,Mammalia,Elephas_maximus,D
Trichechus_manatus_manatus,Trichechus manatus manatus,H,Trichechidae,Sirenia,Mammalia,,W
Rattus,Rattus,O,Muridae,Rodentia,Mammalia,Rattus_rattus,D
Rattus_rattus,Rattus rattus,O,Muridae,Rodentia,Mammalia,,D
Suncus_murinus,Suncus murinus,O,Soricidae,Eulipotyphla,Mammalia,,W
Apodemus_agrarius,Apodemus agrarius,O,Muridae,Rodentia,Mammalia,,W
Macaca_fascicularis,Macaca fascicularis,O,Cercopithecidae,Primates,Mammalia,,W
Bubalus_bubalis,Bubalus bubalis,H,Bovidae,Artiodactyla,Mammalia,,D
Sus,Sus,O,Suidae,Artiodactyla,Mammalia,Sus_scrofa,D
Yak,Yak,H,Bovidae,Artiodactyla,Mammalia,Bos_grunniens,D
Apodemus_flavicollis,Apodemus flavicollis,O,Muridae,Rodentia,Mammalia,,W
Neovison_vison,Neovison vison,C,Mustelidae,Carnivora,Mammalia,,D
Cavia_porcellus,Cavia porcellus,O,Caviidae,Rodentia,Mammalia,,D
Oryctolagus_cuniculus,Oryctolagus cuniculus,H,Leporidae,Lagomorpha,Mammalia,,D
Tibetan_antelope,Tibetan antelope,H,Bovidae,Artiodactyla,Mammalia,,W
Cervus_elaphus,Cervus elaphus,H,Cervidae,Artiodactyla,Mammalia,,W
Deer,Deer,H,Artiodactyla,Artiodactyla,Mammalia,Cervus_nippon,D
Microtus_arvalis,Microtus arvalis,H,Cricetidae,Rodentia,Mammalia,,W
Rabbit,Rabbit,H,Leporidae,Lagomorpha,Mammalia,Oryctolagus_cuniculus,D
Meles_meles,Meles meles,O,Mustelidae,Carnivora,Mammalia,,W
Carollia_perspicillata,Carollia perspicillata,H,Phyllostomidae,Chiroptera,Mammalia,,W
Vulpes_vulpes,Vulpes vulpes,O,Canidae,Carnivora,Mammalia,,W
Marmota_himalayana,Marmota himalayana,H,Sciuridae,Rodentia,Mammalia,,W
Myodes_glareolus,Myodes glareolus,O,Cricetidae,Rodentia,Mammalia,,W
Giant_panda,Giant panda,H,Ursidae,Carnivora,Mammalia,,W
Lemur_catta,Lemur catta,H,Lemuridae,Primates,Mammalia,,W
Microtus_agrestis,Microtus agrestis,H,Cricetidae,Rodentia,Mammalia,,W
Alpaca,Alpaca,H,Camelidae,Artiodactyla,Mammalia,Vicugna_pacos,D
Red_deer,Red deer,H,Cervidae,Artiodactyla,Mammalia,,W
Tammar_wallaby,Tammar wallaby,H,Macropodidae,Diprotodontia,Mammalia,,W
Elephant,Elephant,H,Elephantidae,Proboscidea,Mammalia,Elephas_maximus,D
Panthera_leo,Panthera leo,C,Felidae,Carnivora,Mammalia,,W
Alces_alces,Alces alces,H,Cervidae,Artiodactyla,Mammalia,,W
Macaca_fuscata,Macaca fuscata,O,Cercopithecidae,Primates,Mammalia,,W
Zalophus_californianus,Zalophus californianus,C,Otariidae,Carnivora,Mammalia,,W
Sloth_bear,Sloth bear,O,Ursidae,Carnivora,Mammalia,,W
Vicugna_pacos,Vicugna pacos,H,Camelidae,Artiodactyla,Mammalia,,D
Tursiops_truncatus,Tursiops truncatus,C,Delphinidae,Artiodactyla,Mammalia,,W
Macropus_eugenii,Macropus eugenii,H,Macropodidae,Diprotodontia,Mammalia,,W
Equus_africanus_asinus,Equus africanus asinus,H,Equidae,Perissodactyla,Mammalia,,W
Papio_hamadryas,Papio hamadryas,O,Cercopithecidae,Primates,Mammalia,,W
Sika_deer,Sika deer,H,Cervidae,Artiodactyla,Mammalia,,W
Bos_frontalis,Bos frontalis,H,Bovidae,Artiodactyla,Mammalia,,D
Budorcas_taxicolor,Budorcas taxicolor,H,Bovidae,Artiodactyla,Mammalia,,W
Procyon_lotor,Procyon lotor,O,Procyonidae,Carnivora,Mammalia,,W
Rattus_tanezumi,Rattus tanezumi,O,Muridae,Rodentia,Mammalia,,W
Pteropus_giganteus,Pteropus giganteus,H,Pteropodidae,Chiroptera,Mammalia,,W
Gorilla_gorilla_gorilla,Gorilla gorilla gorilla,H,Hominidae,Primates,Mammalia,Gorilla_gorilla,W
Vulpes_lagopus,Vulpes lagopus,O,Canidae,Carnivora,Mammalia,,W
Plecotus_auritus,Plecotus auritus,C,Vespertilionidae,Chiroptera,Mammalia,,W
Lepus_europaeus,Lepus europaeus,H,Leporidae,Lagomorpha,Mammalia,,W
Pongo_pygmaeus,Pongo pygmaeus,H,Hominidae,Primates,Mammalia,,W
Kangaroo,Kangaroo,H,Macropodidae,Diprotodontia,Mammalia,,W
Pteropus_lylei,Pteropus lylei,H,Pteropodidae,Chiroptera,Mammalia,,W
Orangutan,Orangutan,H,Hominidae,Primates,Mammalia,Pongo_pygmaeus,W
Saimiri_sciureus,Saimiri sciureus,H,Cebidae,Primates,Mammalia,,W
Canis_latrans,Canis latrans,C,Canidae,Carnivora,Mammalia,,W
Miniopterus_fuliginosus,Miniopterus fuliginosus,C,Vespertilionidae,Chiroptera,Mammalia,,W
Cynopterus_brachyotis,Cynopterus brachyotis,H,Pteropodidae,Chiroptera,Mammalia,,W
Eptesicus_serotinus,Eptesicus serotinus,C,Vespertilionidae,Chiroptera,Mammalia,,W
Pipistrellus_pygmaeus,Pipistrellus pygmaeus,C,Vespertilionidae,Chiroptera,Mammalia,,W
Ferret,Ferret,C,Mustelidae,Carnivora,Mammalia,,D
Hipposideros_gigas,Hipposideros gigas,C,Hipposideridae,Chiroptera,Mammalia,,W
Rhinolophus_ferrumequinum,Rhinolophus ferrumequinum,C,Rhinolophidae,Chiroptera,Mammalia,,W
Sorex_araneus,Sorex araneus,C,Soricidae,Eulipotyphla,Mammalia,,W
Canis_mesomelas,Canis mesomelas,C,Canidae,Carnivora,Mammalia,,W
Nyctalus_noctula,Nyctalus noctula,C,Vespertilionidae,Chiroptera,Mammalia,,W
Mandrillus_sphinx,Mandrillus sphinx,O,Cercopithecidae,Primates,Mammalia,,W
Scotophilus_kuhlii,Scotophilus kuhlii,C,Vespertilionidae,Chiroptera,Mammalia,,W
Arctocephalus_tropicalis,Arctocephalus tropicalis,C,Otariidae,Carnivora,Mammalia,,W
Myotis_nattereri,Myotis nattereri,C,Vespertilionidae,Chiroptera,Mammalia,,W
Myotis_ricketti,Myotis ricketti,C,Vespertilionidae,Chiroptera,Mammalia,,W
Myotis_horsfieldii,Myotis horsfieldii,C,Vespertilionidae,Chiroptera,Mammalia,,W
Triaenops_persicus,Triaenops persicus,H,Rhinonycteridae,Chiroptera,Mammalia,,W
Rhinolophus_affinis,Rhinolophus affinis,C,Rhinolophidae,Chiroptera,Mammalia,,W
Hipposideros_armiger,Hipposideros armiger,C,Hipposideridae,Chiroptera,Mammalia,,W
Tibetan_pig,Tibetan pig,O,Suidae,Artiodactyla,Mammalia,Sus_scrofa,D
Gorilla_beringei,Gorilla beringei,H,Hominidae,Primates,Mammalia,,W
Wild_rat,Wild rat,O,Muridae,Rodentia,Mammalia,Rattus_rattus,D
Eulemur_fulvus,Eulemur fulvus,H,Lemuridae,Primates,Mammalia,,W
Leopard,Leopard,C,Felidae,Carnivora,Mammalia,,W
Mirounga_angustirostris,Mirounga angustirostris,C,Phocidae,Carnivora,Mammalia,,W
Pongo_abelii,Pongo abelii,O,Hominidae,Primates,Mammalia,,W
Papio_anubis,Papio anubis,O,Cercopithecidae,Primates,Mammalia,,W
Macaca_sylvanus,Macaca sylvanus,O,Cercopithecidae,Primates,Mammalia,,W
Crocidura_hirta,Crocidura hirta,C,Soricidae,Eulipotyphla,Mammalia,,W
Carollia_sowelli,Carollia sowelli,H,Phyllostomidae,Chiroptera,Mammalia,,W
Mandrillus_leucophaeus,Mandrillus leucophaeus,O,Cercopithecidae,Primates,Mammalia,,W
Sapajus_nigritus,Sapajus nigritus,H,Cebidae,Primates,Mammalia,,W
Manatee,Manatee,H,Tichechidae,Sirenia,Mammalia,Trichechus,W
Wallaby,Wallaby,H,Macropodidae,Diprotodontia,Mammalia,Macropus_eugenii,W
Wolf,Wolf,C,Canidae,Carnivora,Mammalia,Canis_lupus,W
Wombat,Wombat,H,Vombatidae,Diprotodontia,Mammalia,,W
Zebra,Zebra,H,Equidae,Perissodactyla,Mammalia,,W
Caretta_caretta,Caretta caretta,O,Cheloniidae,Testudines,Reptilia,,W
Python,Python,C,Pythonidae,Squamata,Reptilia,,W
Japalura_polygonata,Japalura polygonata,C,Agamidae,Squamata,Reptilia,,W
Bothrops_insularis,Bothrops insularis,C,Viperidae,Squamata,Reptilia,,W
Tortoise,Tortoise,H,Testidomodae,Testudines,Reptilia,,W
