Newick_label,updatedScientificName,family,order,class,correctedName
Papio_hamadryas,Papio_hamadryas,Cercopithecidae,Primates,Mammalia,
Sika_deer,Cervus_nippon,Cervidae,Artiodactyla,Mammalia,Cervus_nippon
Bos_frontalis,Bos_frontalis,Bovidae,Artiodactyla,Mammalia,
Budorcas_taxicolor,Budorcas_taxicolor,Bovidae,Artiodactyla,Mammalia,
Procyon_lotor,Procyon_lotor,Procyonidae,Carnivora,Mammalia,
Rattus_tanezumi,Rattus_tanezumi,Muridae,Rodentia,Mammalia,
Pteropus_giganteus,Pteropus_giganteus,Pteropodidae,Chiroptera,Mammalia,
Gorilla_gorilla_gorilla,Gorilla_gorilla,Hominidae,Primates,Mammalia,Gorilla_gorilla
Vulpes_lagopus,Vulpes_lagopus,Canidae,Carnivora,Mammalia,
Plecotus_auritus,Plecotus_auritus,Vespertilionidae,Chiroptera,Mammalia,
Lepus_europaeus,Lepus_europaeus,Leporidae,Lagomorpha,Mammalia,
Pongo_pygmaeus,Pongo_pygmaeus,Hominidae,Primates,Mammalia,
Kangaroo,Macropus_fuliginosus,Macropodidae,Diprotodontia,Mammalia,Macropus_fuliginosus
Pteropus_lylei,Pteropus_lylei,Pteropodidae,Chiroptera,Mammalia,
Orangutan,Pongo_pygmaeus,Hominidae,Primates,Mammalia,Pongo_pygmaeus
Saimiri_sciureus,Saimiri_sciureus,Cebidae,Primates,Mammalia,
Canis_latrans,Canis_latrans,Canidae,Carnivora,Mammalia,
Miniopterus_fuliginosus,Miniopterus_fuliginosus,Vespertilionidae,Chiroptera,Mammalia,
Cynopterus_brachyotis,Cynopterus_brachyotis,Pteropodidae,Chiroptera,Mammalia,
Eptesicus_serotinus,Eptesicus_serotinus,Vespertilionidae,Chiroptera,Mammalia,
Pipistrellus_pygmaeus,Pipistrellus_pygmaeus,Vespertilionidae,Chiroptera,Mammalia,
Ferret,Mustela_furo,Mustelidae,Carnivora,Mammalia,Mustela_furo
Hipposideros_gigas,Hipposideros_gigas,Hipposideridae,Chiroptera,Mammalia,
Rhinolophus_ferrumequinum,Rhinolophus_ferrumequinum,Rhinolophidae,Chiroptera,Mammalia,
Sorex_araneus,Sorex_araneus,Soricidae,Eulipotyphla,Mammalia,
Canis_mesomelas,Canis_mesomelas,Canidae,Carnivora,Mammalia,
Nyctalus_noctula,Nyctalus_noctula,Vespertilionidae,Chiroptera,Mammalia,
Mandrillus_sphinx,Mandrillus_sphinx,Cercopithecidae,Primates,Mammalia,
Scotophilus_kuhlii,Scotophilus_kuhlii,Vespertilionidae,Chiroptera,Mammalia,
Arctocephalus_tropicalis,Arctocephalus_tropicalis,Otariidae,Carnivora,Mammalia,
Myotis_nattereri,Myotis_nattereri,Vespertilionidae,Chiroptera,Mammalia,
Myotis_ricketti,Myotis_ricketti,Vespertilionidae,Chiroptera,Mammalia,
Myotis_horsfieldii,Myotis_horsfieldii,Vespertilionidae,Chiroptera,Mammalia,
Triaenops_persicus,Triaenops_persicus,Rhinonycteridae,Chiroptera,Mammalia,
Rhinolophus_affinis,Rhinolophus_affinis,Rhinolophidae,Chiroptera,Mammalia,
Hipposideros_armiger,Hipposideros_armiger,Hipposideridae,Chiroptera,Mammalia,
Tibetan_pig,Sus_scrofa,Suidae,Artiodactyla,Mammalia,Sus_scrofa
Gorilla_beringei,Gorilla_beringei,Hominidae,Primates,Mammalia,
Wild_rat,Rattus_rattus,Muridae,Rodentia,Mammalia,Rattus_rattus
Eulemur_fulvus,Eulemur_fulvus,Lemuridae,Primates,Mammalia,
Leopard,Panthera_pardus,Felidae,Carnivora,Mammalia,Panthera_pardus
Mirounga_angustirostris,Mirounga_angustirostris,Phocidae,Carnivora,Mammalia,
Pongo_abelii,Pongo_abelii,Hominidae,Primates,Mammalia,
Papio_anubis,Papio_anubis,Cercopithecidae,Primates,Mammalia,
Macaca_sylvanus,Macaca_sylvanus,Cercopithecidae,Primates,Mammalia,
Crocidura_hirta,Crocidura_hirta,Soricidae,Eulipotyphla,Mammalia,
Carollia_sowelli,Carollia_sowelli,Phyllostomidae,Chiroptera,Mammalia,
Mandrillus_leucophaeus,Mandrillus_leucophaeus,Cercopithecidae,Primates,Mammalia,
Sapajus_nigritus,Sapajus_nigritus,Cebidae,Primates,Mammalia,
Manatee,Trichechus_manatus,Tichechidae,Sirenia,Mammalia,Trichechus_manatus
Wallaby,Macropus_eugenii,Macropodidae,Diprotodontia,Mammalia,Macropus_eugenii
Wolf,Canis_lupus,Canidae,Carnivora,Mammalia,Canis_lupus
Caretta_caretta,Caretta_caretta,Cheloniidae,Testudines,Reptilia,
Japalura_polygonata,Japalura_polygonata,Agamidae,Squamata,Reptilia,
Bothrops_insularis,Bothrops_insularis,Viperidae,Squamata,Reptilia,
